Field1_text,Field1_links,Textbox_value,Text,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9,Text10
合租·朝丰家园3居室-北卧,https://www.ziroom.com/x/716001508.html,1900,9.4㎡,朝北,3室1厅,7/17,有,朝丰家园,2011,塔板结合,独立供暖,30%,2.5
合租·金隅康惠园2号院3居室-南卧,https://www.ziroom.com/x/762105899.html,2100,6.2㎡,朝南,3室1厅,7/20,有,金隅康惠园2号院,2012,塔楼,集体供暖,30%,2.5
合租·南平里3居室-东卧,https://www.ziroom.com/x/750726441.html,1900,14.5㎡,朝东,3室1厅,5/6,无,南平里,1998,板楼,集体供暖,30%,1.5
合租·富力又一城A区3居室-南卧,https://www.ziroom.com/x/723780132.html,2500,17㎡,朝南,3室1厅,1/24,有,富力又一城A区,2009,板楼,独立供暖,35%,2.38
合租·康泉小区3居室-北卧,https://www.ziroom.com/x/725884935.html,2100,9.3㎡,朝北,3室1厅,6/28,有,康泉小区,2015,塔板结合,集体供暖,34%,2.38
合租·康泉小区4居室-北卧,https://www.ziroom.com/x/732599760.html,1900,9.1㎡,朝北,4室1厅,9/13,有,康泉小区,2015,板楼,集体供暖,34%,2.38
合租·北京像素北区3居室-西南卧,https://www.ziroom.com/x/712881988.html,2500,11.8㎡,朝西南,3室1厅,14/14,有,北京像素北区,2011,塔板结合,集体供暖,40%,2.38
合租·远洋一方润园2号院4居室-北卧,https://www.ziroom.com/x/745140502.html,1900,8.68㎡,朝北,4室1厅,1/14,有,远洋一方润园2号院,2011,塔板结合,壁挂炉,30%,0.45
合租·金隅康惠园3号院3居室-南卧,https://www.ziroom.com/x/744546377.html,2500,9.8㎡,朝南,3室1厅,17/22,有,金隅康惠园3号院,2011,塔楼,集体供暖,30%,2.5
合租·北平里3居室-南卧,https://www.ziroom.com/x/764343689.html,1900,11㎡,朝南,3室1厅,5/6,无,北平里,1995,板楼,集体供暖,30%,1.3
